Transporter,Address,Numbers,Contact Person
GOVIND SYSTEMS,"856/16- sainath colony- line bazar- kolhapur - 416006 , kolhapur","Contact No : 9850951103, 0231, 2601712,",Contact Person : mr. indrajeet v. lad
BHOGAVATI TRANSPORT PACKERS AND MOVERS,"182/28 e- lane no 5 rajarampuri- rajarampuri- takala road , kolhapur","Contact No : 9604037977, 9657241077, ,",Contact Person :
SAFE & SECURE LOGISTICS PVT.LTD.,"plot no.208- nagaon phata n.h. 4- midc- shiroli kolhapur , kolhapur","Contact No : , 2460744,",Contact Person : NULL
TRIMURTI ROADWAYS,"patil complex chinchwad road gandhi nagar , kolhapur","Contact No : , ,",Contact Person : NULL
SHIVA SALES & SERVICE,"gat no.1a-34/16- village- gokul shirgaon- kolhapur - 416234 , kolhapur","Contact No : 9822681822, 231, 2639152,",Contact Person : mr. shivkumar rudragauda patil
BINDAL LOGISTICS PVT.LTD.,"plot no.301- nagaon phata opp. kolhapur steel p.b. road shiroli kolhapur , kolhapur","Contact No : 9371939609, ,",Contact Person : NULL
MALKAPUR MOTOR TRANSPORT CO.,"594- e. vayapar peth shahupuri kolhapur , kolhapur","Contact No : 9822665757, 2462582,",Contact Person : NULL
MULIK TRANSPORT,"shiroli , kolhapur","Contact No : 9850106511, 02332620511, 9850106511",Contact Person : abhijeet
JAGRUTHI ROADWAYS,"chinchawad road gandi nagar , kolhapur","Contact No : 9840769509, 44, 25243351, 52, 25243353, 25245133, 4, 25210688,",Contact Person : NULL
INDUSTRIAL CARRIER,"plot no.c-10- near big bazar pawar nagar kolhapur , kolhapur","Contact No : 9822592921, 2696848,",Contact Person : NULL
MAHAVIR TRANSPOPRT,"opp- telephone exchange kolhapur , kolhapur","Contact No : , 2461755,",Contact Person : NULL
GWALIOR AGRA LUCKY ROADLINES,"64 e.h. khathwala building shahu maket yard kolhapur , kolhapur","Contact No : 9372661367, ,",Contact Person : NULL
GUNDESHA TRANSPORT CO.,"p.b. road near kmt petrol pump shiroli kolhapur , kolhapur","Contact No : 9822779020, 7095212121, 2461204, 04040265147,",Contact Person : NULL
CHETAK LOGISTICS LIMITED,"plot no.208- nagaon phata singroli kolhapur , kolhapur","Contact No : 9422028081, 2469444,",Contact Person : NULL
PARSANNA TRANSPORT NETWORK PVT.LTD.,"plot no.125- ambedkar nagar midc. nagaon phata shiroli kolhapur , kolhapur","Contact No : 9623373420, ,",Contact Person : NULL
SUPER JET CARRIERS PVT.LTD,"plot no.2109- opp. kolhapur steel nagaon phata shiroli , kolhapur","Contact No : 9373383500, 2469002,",Contact Person : NULL
AJANTA TRANSPORT,"752-e- shahupuri 4th lance balkhanna apprtment , kolhapur","Contact No : 9422412934, ,",Contact Person : NULL
BULLET LOGISTICS INDIA PVT. LTD.,"pune bangalore road shiroli pulachi- kolhapur -416122 , kolhapur","Contact No : 9822356120, ,",Contact Person : NULL
INDO ARYA CENTRAL TRANSPORT LTD.,"plot no.146- chinchwad road gandhi nagar kolhapur , kolhapur","Contact No : 9371122380, 2612330,",Contact Person : NULL
AVIAVA LIFE INSUARANCE CO.,"anant tower�rajarampuri- kolhapur -416001 , kolhapur","Contact No : , 0231 , 2525263,",Contact Person : ramesh jadhav
ROAD TRANSPORT LOGISTICS,"plot no.131- opp- kolhapur steel ambedkar nagar kolhapur , kolhapur","Contact No : , ,",Contact Person : NULL
PADMA ROADWAYS,"block no.1- shri shahu market yard near sbi bank , kolhapur","Contact No : 9422414127, 2653327,",Contact Person : NULL
SANKAR ROADWAYS,"235- e. shahu market yard kolhapur , kolhapur","Contact No : 9890949146, ,",Contact Person : NULL
MAHAJAN ROAD CARRIERS,"gate no.100- near tawade hostel karvir kolhapur , kolhapur","Contact No : , ,",Contact Person : NULL
JAYRAM TRANSPORT CO.,"530- e-ward vayapari peth shahupuri near hotel govinda , kolhapur","Contact No : , ,",Contact Person : NULL
THIRUPARAN GUNDRAM/MURUGAN LOGISTICS,"no.292- p.b. road opp. sangali phata shiroli kolhapur , kolhapur","Contact No : , ,",Contact Person : NULL
THE KOKAN ROADLINES,"shop no.18- a.k. complex 689 e- shahupuri 2nd gali kolhapur , kolhapur","Contact No : 9890220180, ,",Contact Person : NULL
DELUX ROADLINES PVT.LTD.,"l.d. market gandhi nagar kolhapur , kolhapur","Contact No : , ,",Contact Person : NULL
SHREE BAJRANG PRIVAHAN COMPANY,"plot no. 1431-nagaon phata shiroli kolhapur , kolhapur","Contact No : 9326697999, 0230, 2460788, 9326697999",Contact Person : mr. mukesh sharma
BHOSALE TEMPO SERVICE,"nagaon phata shiroli , kolhapur","Contact No : 9822107413, 27442041,",Contact Person : NULL
SHREE BALAJI TRANSPORT CORP. (REGD.),"plot no.1431- near mahadik petrol pump nagaon road phata shiroli kolhapur , kolhapur","Contact No : 3226697999, ,",Contact Person : NULL
RAVI GOODS TRANSPORT,"2079- kh/2b 14th lane raja rampuri kolhapuri , kolhapur","Contact No : 9823057897, ,",Contact Person : NULL
?????? ?????? ??????,"at/post-wakare-til-karveer- dist- kolhapur - , kolhapur","Contact No : 9561626213, , 9561626213",Contact Person : shivaji powar
SAMS ROADLINES,"sarnobatwadi kolhapur , kolhapur","Contact No : 9763727787, 8623807787, 9763727787",Contact Person : altaf shaikh
AARYAN ROADWAYS,"mohit market gala no.4- palande carriers opp hirani market chnchwada road gandhi nagar kolhapur , kolhapur","Contact No : 9960375345, 3919145,",Contact Person : NULL
MAA ANNPURNA TRANSPORT AGENCY LIMITED,"plot no.229- nagaon phata siroli , kolhapur","Contact No : 9326738696, 2468756,",Contact Person : NULL
SATGUR CARRIER,"6- anandi chamber- 2nd lane shaupari , kolhapur","Contact No : 9225806930, 2653709,",Contact Person : NULL
DAZIPUR TRANSPORT,"shashi chember lst lane kolhapur , kolhapur","Contact No : 9225823157, 2549050,",Contact Person : NULL
NEW BIJAPUR TRANSPORT CO.,"578- lst lane manoj plaza gala no.1 shahupuri , kolhapur","Contact No : , 2656149,",Contact Person : NULL
GURUKRIPA ROADLINES,"plot no.143- opp. kolhapur steel p.b. road nagaon , kolhapur","Contact No : , 3203340,",Contact Person : NULL
SURAT GOODS TRANSPORT PVT.LTD.,"amrut complex opp- goods years (i) ltd.near chavan steel p.b. road shiroli kolhapur , kolhapur","Contact No : 9371125552, 2461989,",Contact Person : NULL
BLUECHIP CORPORATE INVEST CENTER LTD.,"no. 517/2- e ward� gemstone�new shahapuri- kolhapur -416002 , kolhapur","Contact No : , 0231 , 2667767, 0231 , 9999999,",Contact Person : NULL
VIJAYANAND ROADLINES LTD.,"plot no.8- midc- shiroli kolhapur , kolhapur","Contact No : , ,",Contact Person : NULL
KERLA TRANSPORT CO.,"block no.112. nagaon phata p.b. shiroli kolhapur , kolhapur","Contact No : , 2468358, 2469345,",Contact Person :
M.K. MEHENDALE TRANSPORT PVT.LTD.,"plot no.1431- nagaon phata shiroli kolhapur , kolhapur","Contact No : 9881252938, 98224795, ,",Contact Person :
IFFCO- TOKIO GENERAL INSURANCE CO LTD.,"no. g-2� tarabai park- kolhapur -416003 , kolhapur","Contact No : , 0231 , 6452620,",Contact Person : mr jairaj m. bhosale
THE UGAR ROADLINES,"504/2/a- e.ward shahupuri tokke building kolhapur , kolhapur","Contact No : 9372918147, 2653640,",Contact Person : NULL
PATER ROADWAYS,"plot no. 50/1- 2nd lane� c/o m.g. potdar�jaysingpur- kolhapur -416101 , kolhapur","Contact No : 9370441010, ,",Contact Person : NULL
MAHARASHTRA ROADWAYS,"chinchwad road gandhi nagar kolhapur , kolhapur","Contact No : 9371118461, 3919194,",Contact Person : NULL
AITCO MOVERS PVT.LTD.,"no.292- p.b. road n.h.4- sangali cross shiroli kolhapur , kolhapur","Contact No : , ,",Contact Person : vilasrao patil
MAHALAKSMI LOGISTICS PVT.LTD.,"plot no.256- nagaon phata shiroli kolhapur , kolhapur","Contact No : 9326601051, 3297558,",Contact Person : NULL
UDAY TRANSPORT CO.,"chinchwada road gandhinagar , kolhapur","Contact No : 9370155341, ,",Contact Person : NULL
SWAMI ROADLINES PACKERS AND MOVERS,"plot no 53 atul shah building- shri shahu market yard- near market yard police station , kolhapur","Contact No : 9326528262, 0231, 2010062,",Contact Person : NULL
VIPRA SERVICES (I) PVT. LTD.,"empire tower- dasara chowk- station road�karveer- kolhapur -416012 , kolhapur","Contact No : 9822097851, 0231 , 2642701,",Contact Person : v.r. jadhav
MAHAVIR ROADLINES,"752- e. balkrishan aprt.gala no.5- shahupuri kolhapur , kolhapur","Contact No : 9422412907, 2652437,",Contact Person : NULL
HASAN TRANSPORT,"chinchwad road gandhi nagar kolhapur , kolhapur","Contact No : , 2612956,",Contact Person : NULL
NORTH EASTERN CARRYING CORP.LTD.,"seeta sadani indra nagar ichalkanji , kolhapur","Contact No : 9326190555, ,",Contact Person : NULL
AVINASH CARRIER PVT.LTD.,"plot no.294- opp. datta mandir nagaon siroli kolhapur , kolhapur","Contact No : 8975755230, ,",Contact Person : NULL
V-TRANS (INDIA) LIMITED,"gate no.488- mayur phata nh-4- nagaon kolhapur , kolhapur","Contact No : 9423839402, ,",Contact Person : NULL
METLIFE INSURANCE SERVICES PVT. LTD.,"no. 3-6- 3rd floor- cst no. 1115/k� anant towers�new shahapuri- kolhapur -416001 , kolhapur","Contact No : , 0231 , 3051600,",Contact Person : NULL
GOTADKI TRANSPORT,"hirali market gandhi nagar kolhapur , kolhapur","Contact No : 9448859855, ,",Contact Person : NULL
MADHUPURI ROPADLINES,"chinchwad road gandhi nagar kolhapur , kolhapur","Contact No : , 2611227,",Contact Person : NULL
THIRUPARANGUNDRAM MURUGAN LOGISTICS,"tmr house nh.7- dindugal main road opp. sbi bank , kolhapur","Contact No : , ,",Contact Person : NULL
BHARAT CAPITAL SERVICES PVT. LTD.,"dabhlkar corner�karveer- kolhapur -416001 , kolhapur","Contact No : , 0231 , 2666509,",Contact Person : ashutosh gogte
NATIONAL LOGISTICS SERVICES,"nh.4 opp kolhapur steel shiroli , kolhapur","Contact No : , ,",Contact Person : NULL
SAHARA CARGO PACKERS AND MOVERS,"shop no 01 and 2 dashrath apartment- shahupuri lane no 5- shahupuri- near hanuman temple , kolhapur","Contact No : 9822654044, 9372664044, 0231, 2664044,",Contact Person : mr.zakirhusen
